,Year,Precipitation amount (mm),Snow depth (cm),Air temperature (degC),Day,Month,Hour,Auroransilta,Eteläesplanadi,Huopalahti (asema),Kaisaniemi/Eläintarhanlahti,Kaivokatu,Kulosaaren silta et.,Kulosaaren silta po. ,Kuusisaarentie,"Käpylä, Pohjoisbaana",Lauttasaaren silta eteläpuoli,Merikannontie,Munkkiniemen silta eteläpuoli,Munkkiniemi silta pohjoispuoli,Heperian puisto/Ooppera,Pitkäsilta itäpuoli,Pitkäsilta länsipuoli,Lauttasaaren silta pohjoispuoli,Ratapihantie,Viikintie,Baana
23,2017,-1.0,6.0,-2.2,24,1,276,0.0,536.0,611.0,516.0,0.0,0.0,637.0,462.0,0.0,1158.0,730.0,743.0,246.0,917.0,643.0,366.0,427.0,639.0,0.0,1038.0
24,2017,0.6,6.0,-3.8,25,1,276,0.0,490.0,537.0,439.0,0.0,0.0,569.0,439.0,0.0,1256.0,667.0,654.0,233.0,854.0,645.0,301.0,415.0,496.0,0.0,985.0
25,2017,-1.0,6.0,1.9,26,1,276,0.0,507.0,513.0,464.0,0.0,0.0,555.0,402.0,0.0,908.0,706.0,642.0,230.0,910.0,627.0,349.0,414.0,561.0,0.0,950.0
26,2017,-1.0,4.0,1.6,27,1,276,0.0,523.0,479.0,445.0,0.0,1.0,511.0,443.0,0.0,1030.0,685.0,643.0,227.0,876.0,582.0,401.0,378.0,497.0,0.0,923.0
27,2017,1.8,4.0,0.8,28,1,276,0.0,248.0,87.0,175.0,0.0,0.0,165.0,120.0,0.0,385.0,193.0,162.0,99.0,247.0,274.0,227.0,106.0,137.0,0.0,214.0
28,2017,2.6,3.0,0.6,29,1,276,0.0,203.0,114.0,124.0,0.0,0.0,184.0,126.0,0.0,352.0,183.0,129.0,104.0,216.0,205.0,202.0,129.0,136.0,0.0,196.0
29,2017,5.6,5.0,1.0,30,1,276,0.0,440.0,532.0,434.0,0.0,0.0,514.0,451.0,0.0,990.0,584.0,637.0,218.0,729.0,554.0,262.0,336.0,534.0,0.0,811.0
30,2017,-1.0,4.0,0.2,31,1,276,0.0,532.0,554.0,493.0,0.0,0.0,637.0,479.0,0.0,1028.0,725.0,707.0,259.0,867.0,659.0,335.0,417.0,568.0,0.0,938.0
31,2017,1.5,4.0,-0.6,1,2,276,0.0,475.0,564.0,509.0,0.0,0.0,615.0,513.0,0.0,1147.0,694.0,727.0,265.0,873.0,619.0,345.0,396.0,619.0,0.0,945.0
32,2017,0.2,5.0,-0.8,2,2,276,0.0,494.0,499.0,492.0,0.0,0.0,594.0,436.0,0.0,901.0,703.0,647.0,207.0,864.0,600.0,349.0,382.0,539.0,0.0,906.0
33,2017,-1.0,6.0,-0.2,3,2,276,0.0,467.0,468.0,415.0,0.0,0.0,564.0,383.0,0.0,955.0,574.0,602.0,196.0,709.0,539.0,377.0,321.0,458.0,0.0,806.0
34,2017,2.7,6.0,0.4,4,2,276,0.0,208.0,100.0,148.0,0.0,1.0,182.0,120.0,0.0,327.0,210.0,149.0,125.0,265.0,227.0,253.0,108.0,142.0,0.0,215.0
35,2017,-1.0,7.0,-2.5,5,2,276,0.0,126.0,96.0,125.0,0.0,0.0,162.0,109.0,0.0,343.0,213.0,152.0,77.0,199.0,177.0,208.0,102.0,137.0,0.0,188.0
36,2017,-1.0,7.0,-7.3,6,2,276,0.0,374.0,523.0,424.0,0.0,0.0,500.0,494.0,0.0,836.0,627.0,623.0,239.0,792.0,474.0,283.0,381.0,508.0,0.0,826.0
37,2017,-1.0,8.0,-12.1,7,2,276,0.0,410.0,384.0,349.0,0.0,0.0,428.0,377.0,0.0,714.0,542.0,440.0,216.0,626.0,450.0,239.0,315.0,416.0,0.0,624.0
38,2017,-1.0,8.0,-8.8,8,2,276,0.0,360.0,402.0,316.0,0.0,0.0,472.0,346.0,0.0,706.0,545.0,438.0,236.0,695.0,452.0,249.0,321.0,405.0,0.0,697.0
39,2017,-1.0,8.0,-10.1,9,2,276,0.0,394.0,387.0,324.0,0.0,0.0,413.0,354.0,0.0,726.0,495.0,431.0,209.0,660.0,439.0,248.0,288.0,429.0,0.0,703.0
40,2017,-1.0,8.0,-8.3,10,2,276,0.0,421.0,371.0,371.0,0.0,0.0,399.0,364.0,0.0,741.0,532.0,458.0,203.0,625.0,428.0,259.0,296.0,397.0,0.0,705.0
41,2017,-1.0,8.0,-5.4,11,2,276,0.0,146.0,92.0,132.0,0.0,0.0,118.0,92.0,0.0,330.0,179.0,141.0,91.0,204.0,190.0,198.0,98.0,108.0,0.0,187.0
42,2017,-1.0,8.0,-2.7,12,2,276,0.0,164.0,80.0,92.0,0.0,0.0,148.0,119.0,0.0,328.0,185.0,146.0,97.0,198.0,174.0,170.0,92.0,103.0,0.0,205.0
43,2017,-1.0,8.0,1.5,13,2,276,0.0,525.0,557.0,486.0,0.0,0.0,617.0,487.0,0.0,1177.0,686.0,648.0,282.0,934.0,616.0,320.0,436.0,544.0,0.0,1019.0
44,2017,-1.0,8.0,4.4,14,2,276,0.0,623.0,556.0,534.0,0.0,0.0,675.0,569.0,0.0,1137.0,854.0,705.0,306.0,1050.0,742.0,411.0,464.0,570.0,0.0,1050.0
45,2017,-1.0,8.0,0.0,15,2,276,0.0,608.0,581.0,499.0,0.0,0.0,670.0,513.0,0.0,1173.0,730.0,641.0,286.0,982.0,769.0,350.0,458.0,542.0,0.0,1011.0
46,2017,0.9,8.0,0.5,16,2,276,0.0,569.0,513.0,489.0,0.0,0.0,605.0,458.0,0.0,1066.0,728.0,658.0,266.0,956.0,666.0,382.0,442.0,597.0,0.0,1010.0
47,2017,0.2,8.0,1.5,17,2,276,0.0,495.0,422.0,402.0,0.0,1.0,525.0,406.0,0.0,838.0,585.0,580.0,229.0,760.0,530.0,351.0,363.0,494.0,0.0,843.0
48,2017,1.5,5.0,1.9,18,2,276,0.0,247.0,140.0,170.0,0.0,0.0,270.0,190.0,0.0,524.0,355.0,222.0,159.0,361.0,289.0,301.0,142.0,163.0,0.0,285.0
49,2017,1.1,5.0,2.2,19,2,276,0.0,171.0,104.0,144.0,0.0,0.0,150.0,134.0,0.0,301.0,272.0,164.0,112.0,228.0,199.0,231.0,128.0,115.0,0.0,237.0
50,2017,2.8,3.0,0.4,20,2,276,0.0,423.0,426.0,393.0,0.0,0.0,492.0,417.0,0.0,876.0,612.0,575.0,212.0,685.0,466.0,270.0,305.0,439.0,0.0,776.0
51,2017,-1.0,7.0,-2.5,21,2,276,0.0,416.0,457.0,388.0,0.0,0.0,487.0,481.0,0.0,844.0,623.0,539.0,199.0,729.0,496.0,337.0,353.0,438.0,0.0,827.0
